DATA_AS_OF,CLUSTER_ID,AGENCY,PARTNER,PARTNER2,DONOR,ADMIN1_ID,ADMIN2_ID,area_type,STATUS_ACTIVITY,ACTIVITY,START_ACTIVITY,END_ACTIVITY,BENEF_HH,BENEF_IND,Oblast_Name,Raion_Name
févr.16,Food Security,World Food Programme,,,,1400000000,1410200000,GCA,Ongoing,Other,2.16,,,,Donetska,Avdiivka
févr.16,Protection,United Nations Children's Fund,,,,1400000000,1410200000,GCA,Ongoing,MRE activities,2.11,,,,Donetska,Avdiivka
févr.16,Protection,Danish Refugee Council,,,,1400000000,1410200000,GCA,Completed,MRE activities,2.12,févr.12,,,Donetska,Avdiivka
févr.16,Emergency Shelter/Non-Food Item,Adventist Development and Relief Agency,,,,1400000000,1410200000,GCA,Completed,Other,7.15,juil.15,,,Donetska,Avdiivka
févr.16,Emergency Shelter/Non-Food Item,Save the Children International,,,,1400000000,1410200000,GCA,Ongoing,Shelter Repairs,9.15,févr.16,,,Donetska,Avdiivka
févr.16,Emergency Shelter/Non-Food Item,Save the Children International,,,,1400000000,1410200000,GCA,Ongoing,Shelter Repairs,9.15,févr.16,,,Donetska,Avdiivka
févr.16,Emergency Shelter/Non-Food Item,People In Need,,,,1400000000,1410200000,GCA,Completed,NFI distributions,2.15,févr.15,,,Donetska,Avdiivka
févr.16,Emergency Shelter/Non-Food Item,People In Need,,,,1400000000,1410200000,GCA,Completed,NFI distributions,2.15,févr.15,,,Donetska,Avdiivka
févr.16,Emergency Shelter/Non-Food Item,People In Need,,,,1400000000,1410200000,GCA,Completed,Shelter Repairs,2.15,févr.15,,,Donetska,Avdiivka
févr.16,Emergency Shelter/Non-Food Item,People In Need,,,,1400000000,1410200000,GCA,Completed,NFI distributions,2.15,févr.15,,,Donetska,Avdiivka
févr.16,Emergency Shelter/Non-Food Item,People In Need,,,,1400000000,1410200000,GCA,Completed,Shelter Repairs,3.15,mars.15,,,Donetska,Avdiivka
févr.16,Emergency Shelter/Non-Food Item,People In Need,,,,1400000000,1410200000,GCA,Completed,Shelter Repairs,3.15,mars.15,,,Donetska,Avdiivka
