"Day, Month, Year", Oblast,PCODE1,Raion,PCODE2,Urban-type settlement,PCODE3,[Admin4],PCODE4,Latitude,Longitude,Name of school / learning center,Type of school/ learning center,Type of education,Control area,Activity,Status,Activity start date,Activity completion date,Total Beneficiaries,Total ADULT Beneficiaries,Female,Male,Total CHILDREN Beneficiaries,Girls,Boys,Number of ECCD Units,Number of Schools/Kindergartens,Comments
2015-05-15,Donetsk,1400000000,Artemivsk,1410300000,,#N/A,,#N/A,,,,,,GCA,Emergency repairs to educational infrastructure inclusive of WASH.,Ongoing,2015-03-01,,353,46,,,307,154,153,,2,
2015-05-15,Donetsk,1400000000,Kostiantynivkа,1412600000,Kostiantynivska,1412600000,,,48.5224208206,37.7014096088,,,,GCA,Emergency repairs to educational infrastructure inclusive of WASH.,Ongoing,2015-03-01,,646,69,,,577,288,289,,2,
2015-05-15,Donetsk,1400000000,Krаmаtorsk,1412900000,,#N/A,,,,,,,,GCA,Emergency repairs to educational infrastructure inclusive of WASH.,Ongoing,2015-03-01,,5165,328,,,4837,2370,2467,,9,
2015-05-15,Donetsk,1400000000,Krаsnyi Lymаn,1413300000,Krasnolymanska,1413300000,,,48.9863851188,37.8036204339,,,,GCA,Emergency repairs to educational infrastructure inclusive of WASH.,Ongoing,2015-03-01,,781,68,,,713,354,359,,3,
2015-05-15,Donetsk,1400000000,Slovianskyi,1424200000,,#N/A,,,,,,,,GCA,Emergency repairs to educational infrastructure inclusive of WASH.,Ongoing,2015-03-01,,1131,116,,,1015,497,518,,6,
2015-05-15,Luhansk,4400000000,Bilokurаkynskyi,4420900000,,#N/A,,,,,,,,GCA,Emergency repairs to educational infrastructure inclusive of WASH.,Ongoing,2015-03-01,,692,47,,,645,320,325,,1,
2015-05-15,Luhansk,4400000000,Bilovodskyi,4420600000,,#N/A,,,,,,,,GCA,Emergency repairs to educational infrastructure inclusive of WASH.,Ongoing,2015-03-01,,475,44,,,431,214,217,,1,
2015-05-15,Luhansk,4400000000,Kreminskyi,4421600000,,#N/A,,,,,,,,GCA,Emergency repairs to educational infrastructure inclusive of WASH.,Ongoing,2015-03-01,,581,44,,,537,263,274,,1,
2015-05-15,Luhansk,4400000000,Lysychаnsk,4411800000,,#N/A,,,,,,,,GCA,Emergency repairs to educational infrastructure inclusive of WASH.,Ongoing,2015-03-01,,993,75,,,918,449,469,,1,
2015-05-15,Luhansk,4400000000,Mаrkivskyi,4422500000,,#N/A,,,,,,,,GCA,Emergency repairs to educational infrastructure inclusive of WASH.,Ongoing,2015-03-01,,701,60,,,641,316,325,,1,
2015-05-15,Luhansk,4400000000,Milovskyi,4422800000,,#N/A,,,,,,,,GCA,Emergency repairs to educational infrastructure inclusive of WASH.,Ongoing,2015-03-01,,360,30,,,330,170,160,,1,
2015-05-15,Luhansk,4400000000,Novoаidаrskyi,4423100000,,#N/A,,,,,,,,GCA,Emergency repairs to educational infrastructure inclusive of WASH.,Ongoing,2015-03-01,,661,48,,,613,300,313,,1,
2015-05-15,Luhansk,4400000000,Novopskovskyi,4423300000,,#N/A,,,,,,,,GCA,Emergency repairs to educational infrastructure inclusive of WASH.,Ongoing,2015-03-01,,846,46,,,800,405,395,,1,
2015-05-15,Luhansk,4400000000,Rubizhne,4412500000,Rubizhanska,4412500000,,,49.0206508613,38.3664454517,,,,GCA,Emergency repairs to educational infrastructure inclusive of WASH.,Ongoing,2015-03-01,,828,63,,,765,379,386,,1,
2015-05-15,Luhansk,4400000000,Sievierodonetsk,4412900000,,#N/A,,,,,,,,GCA,Emergency repairs to educational infrastructure inclusive of WASH.,Ongoing,2015-03-01,,839,52,,,787,390,397,,1,
2015-05-15,Luhansk,4400000000,Svаtivskyi,4424000000,,#N/A,,,,,,,,GCA,Emergency repairs to educational infrastructure inclusive of WASH.,Ongoing,2015-03-01,,555,47,,,508,250,258,,1,
2015-05-15,Luhansk,4400000000,Stаrobilskyi,4425100000,,#N/A,,,,,,,,GCA,Emergency repairs to educational infrastructure inclusive of WASH.,Ongoing,2015-03-01,,609,50,,,559,279,280,,1,
2015-05-15,Luhansk,4400000000,Troitskyi,4425400000,,#N/A,,,,,,,,GCA,Emergency repairs to educational infrastructure inclusive of WASH.,Ongoing,2015-03-01,,443,40,,,403,199,204,,1,
2015-11-04,Donetsk,1400000000,Dzerzhynsk,1411200000,Dzerzhynska,1411200000,,,48.3951225438,37.8488754652,,,,GCA,Emergency repairs to educational infrastructure inclusive of WASH.,Completed,2015-11-01,2016-04-05,316,52,,,264,,,,2,
2015-11-04,Donetsk,1400000000,Dzerzhynsk,1411200000,Dzerzhynska,1411200000,,,48.3951225438,37.8488754652,,,,GCA,Emergency repairs to educational infrastructure inclusive of WASH.,Completed,2015-11-01,2016-03-24,100,15,,,85,,,,1,
2015-11-04,Donetsk,1400000000,Artemivskyi,1420900000,,#N/A,,,,,,,,GCA,Emergency repairs to educational infrastructure inclusive of WASH.,Completed,2015-11-01,2016-04-05,533,48,,,485,,,,2,
2015-11-04,Donetsk,1400000000,Artemivskyi,1420900000,,#N/A,,,,,,,,GCA,Emergency repairs to educational infrastructure inclusive of WASH.,Completed,2015-11-01,2016-03-24,904,71,,,833,,,,4,
2015-11-04,Donetsk,1400000000,Artemivskyi,1420900000,,#N/A,,,,,,,,GCA,Emergency repairs to educational infrastructure inclusive of WASH.,Completed,2015-11-01,2016-04-05,482,46,,,436,,,,2,
2015-11-04,Donetsk,1400000000,Artemivskyi,1420900000,,#N/A,,,,,,,,GCA,Emergency repairs to educational infrastructure inclusive of WASH.,Completed,2015-11-01,2016-03-24,210,24,,,186,,,,1,
2016-01-01,Luhansk,4400000000,Krаsnodonskyi,4421400000,Novosvitlivska,4421456200,,,48.4844923068,39.5149939147,,,,NGCA,Emergency procurement and distribution of equipment to schools.,Planned,2016-01-01,,400,0,,,400,200,200,,,
2016-01-01,Luhansk,4400000000,Krаsnodonskyi,4421400000,Novosvitlivska,4421456200,,,48.4844923068,39.5149939147,,,,NGCA,Emergency procurement and distribution of equipment to schools.,Planned,2016-01-01,,160,0,,,160,78,82,,,
2016-01-01,Luhansk,4400000000,Perevаlskyi,4423600000,Zorynska,4423610600,,,48.4145656005,38.6204586658,,,,NGCA,Emergency procurement and distribution of equipment to schools.,Planned,2016-01-01,,455,0,,,455,226,229,,,
2016-01-01,Luhansk,4400000000,Krаsnodonskyi,4421400000,Khriashchuvatenska,4421489300,,,48.5147994476,39.4238059998,,,,NGCA,Emergency procurement and distribution of equipment to schools.,Planned,2016-01-01,,55,0,,,55,29,26,,,
2016-01-01,Donetsk,1400000000,,#N/A,,#N/A,,,,,,,,GCA,Emergency supply of education kits & ECD kits. ,Completed,2016-01-01,2016-01-31,3200,0,,,3200,,,,,
2016-01-01,Luhansk,4400000000,,#N/A,,#N/A,,,,,,,,GCA,Emergency supply of education kits & ECD kits. ,Completed,2016-01-01,2016-01-31,3200,0,,,3200,,,,,
2016-01-01,Dnipropetrovsk,1200000000,Dnipropetrovsk,1210100000,Dnipropetrovska,1210100000,,,48.4654930001,35.0065218869,,,,GCA,Establish and support early childhood care and development (ECCD) units,Planned,2016-02-28,2016-03-31,60,0,,,60,30,30,1,,ECCD unite in school
2016-01-01,Dnipropetrovsk,1200000000,Pаvlohrаd,1212400000,Pavlohradska,1212400000,,,48.5340775175,35.8787045102,,,,GCA,Establish and support early childhood care and development (ECCD) units,Planned,2016-02-28,2016-03-31,30,0,,,30,15,15,1,,ECCD unite in school
2016-01-01,Zaporizhzhya,2300000000,Zаporizhzhia,2310100000,Zaporizka,2310100000,,,47.8496015005,35.1859553051,,,,GCA,Establish and support early childhood care and development (ECCD) units,Planned,2016-02-28,2016-03-31,60,0,,,60,30,30,1,,ECCD unite in school
