Date,cluster_name,org_name,partner #1_name,partner #2_name,ADMIN1_NAME_ENG,ADMIN2_NAME_UKR,area_type,status_name,ACTIVITY,ACTIVITY_START,ACTIVITY_END,NUMBER_REACHED
01-Feb-16,WASH,Adventist Development and Relief Agency,United Nations Children's Fund,,Luhanska,Сєвєродонецьк,GCA,Completed,Distribution of hygine items/kits,02-Feb-16,04-Mar-16,144
01-Feb-16,WASH,Adventist Development and Relief Agency,United Nations Children's Fund,,Luhanska,Лисичанськ,GCA,Completed,Distribution of hygine items/kits,02-Feb-16,04-Mar-16,155
01-Feb-16,WASH,Adventist Development and Relief Agency,United Nations Children's Fund,,Donetska,,GCA,Completed,Hygiene promotion,01-Jan-16,,6966
01-Feb-16,WASH,Adventist Development and Relief Agency,United Nations Children's Fund,,Donetska,Краматорськ,GCA,Ongoing,Hygiene promotion,01-Dec-15,30-Jan-16,13000
01-Feb-16,WASH,Adventist Development and Relief Agency,United Nations Children's Fund,,Donetska,Краматорськ,GCA,Ongoing,Hygiene promotion,01-Dec-15,30-Jan-16,13000
01-Jan-16,Livelihoods,Danish Refugee Council,,,Dnipropetrovska,Нікополь,GCA,Ongoing,Other,,,0
01-Jan-16,Livelihoods,Danish Refugee Council,,,Dnipropetrovska,Новомосковськ,GCA,Ongoing,Other,,,0
01-Jan-16,Livelihoods,Danish Refugee Council,,,Dnipropetrovska,Синельникове,GCA,Ongoing,Other,,,0
01-Jan-16,Livelihoods,Danish Refugee Council,,,Dnipropetrovska,Магдалинівський,GCA,Ongoing,Other,,,0
01-Jan-16,Livelihoods,Danish Refugee Council,,,Donetska,Маріуполь,GCA,Ongoing,Other,,,0
01-Jan-16,Livelihoods,Danish Refugee Council,,,Zaporizka,Бердянськ,GCA,Ongoing,Other,,,0
01-Feb-16,Education,Save the Children International,,,Dnipropetrovska,Павлоград,GCA,Ongoing,"Catch-up classes, summer camps",11-Jan-15,31-Mar-16,54
01-Feb-16,Education,Save the Children International,,,Dnipropetrovska,Першотравенськ,GCA,Ongoing,"Catch-up classes, summer camps",11-Jan-15,31-Mar-16,60
01-Feb-16,Education,Save the Children International,,,Zaporizka,Запоріжжя,GCA,Ongoing,"Catch-up classes, summer camps",11-Jan-15,31-Mar-16,123
01-Feb-16,Education,Save the Children International,,,Zaporizka,Мелітополь,GCA,Ongoing,"Catch-up classes, summer camps",11-Jan-15,31-Mar-16,24
01-Feb-16,Education,Save the Children International,,,Zaporizka,Бердянськ,GCA,Ongoing,"Catch-up classes, summer camps",11-Jan-15,31-Mar-16,92
01-Feb-16,Education,Save the Children International,,,Dnipropetrovska,Межівський,GCA,Ongoing,"Catch-up classes, summer camps",10-Nov-15,31-Mar-16,1055
01-Feb-16,Education,Save the Children International,,,Zaporizka,Мелітополь,GCA,Ongoing,Development of ECCD units,23-Dec-15,31-Mar-16,29
01-Feb-16,Education,Save the Children International,,,Zaporizka,Бердянськ,GCA,Ongoing,"Catch-up classes, summer camps",12-Jan-15,31-Mar-16,255
01-Feb-16,Education,Save the Children International,,,Dnipropetrovska,Межівський,GCA,Ongoing,"Catch-up classes, summer camps",12-Jan-15,31-Mar-16,30
01-Jan-16,Protection,Swiss Foundation for Mine Action,,,Luhanska,Попаснянський,GCA,Completed,MRE activities,,,79
01-Jan-16,Protection,Swiss Foundation for Mine Action,,,Luhanska,Попаснянський,GCA,Completed,MRE activities,,,91
01-Jan-16,Protection,Swiss Foundation for Mine Action,,,Luhanska,Попаснянський,GCA,Completed,MRE activities,,,94
01-Jan-16,Protection,Swiss Foundation for Mine Action,,,Luhanska,Попаснянський,GCA,Completed,MRE activities,,,101
01-Jan-16,Protection,Swiss Foundation for Mine Action,,,Luhanska,Сєвєродонецьк,GCA,Completed,MRE activities,,,672
01-Jan-16,Protection,Swiss Foundation for Mine Action,,,Luhanska,Сєвєродонецьк,GCA,Completed,MRE activities,,,28
01-Jan-16,Protection,Swiss Foundation for Mine Action,,,Luhanska,Сєвєродонецьк,GCA,Completed,MRE activities,,,209
01-Jan-16,Protection,Swiss Foundation for Mine Action,,,Luhanska,Сєвєродонецьк,GCA,Completed,MRE activities,,,218
01-Jan-16,Protection,Swiss Foundation for Mine Action,,,Luhanska,Старобільський,GCA,Completed,MRE activities,,,23
01-Jan-16,Protection,Swiss Foundation for Mine Action,,,Luhanska,Сватівський,GCA,Completed,MRE activities,,,527
01-Jan-16,Protection,United Nations Children's Fund,,,Luhanska,Сєвєродонецьк,GCA,Completed,MRE activities,,,1500
01-Jan-16,Protection,United Nations Children's Fund,,,Luhanska,,GCA,Completed,MRE activities,,,67175
01-Jan-16,Protection,United Nations Children's Fund,,,Luhanska,,GCA,Completed,MRE activities,,,5000
01-Jan-16,Protection,United Nations Children's Fund,,,Luhanska,,GCA,Completed,MRE activities,,,1100
01-Jan-16,Protection,Danish Refugee Council,,,Luhanska,Первомайськ,GCA,Completed,MRE activities,,,21
01-Jan-16,Protection,Danish Refugee Council,,,Luhanska,Біловодський,GCA,Completed,MRE activities,,,1
01-Jan-16,Protection,Danish Refugee Council,,,Luhanska,Біловодський,GCA,Completed,MRE activities,,,1
01-Jan-16,Health_Nutrition,World Health Organization,,,Kyiv,,GCA,Ongoing,Direct support to hospitals and medical points in sanatoriums,29-Jan-16,,0
01-Jan-16,Health_Nutrition,World Health Organization,,,Odeska,,GCA,Ongoing,Direct support to hospitals and medical points in sanatoriums,29-Jan-16,,0
01-Jan-16,Health_Nutrition,World Health Organization,,,Donetska,,GCA,Ongoing,Direct support to hospitals and medical points in sanatoriums,29-Jan-16,,0
01-Jan-16,Health_Nutrition,World Health Organization,,,Kharkivska,,GCA,Ongoing,Direct support to hospitals and medical points in sanatoriums,29-Jan-16,,0
01-Jan-16,Health_Nutrition,Premiere Urgence - Aide Medicale Internationale,,,Donetska,Горлівка,GCA,Planned,Voucher for free medicines,20-Feb-16,30-Apr-17,0
01-Jan-16,Health_Nutrition,World Health Organization,,,Zaporizka,,GCA,Ongoing,Direct support to hospitals and medical points in sanatoriums,29-Jan-16,,0
01-Jan-16,Health_Nutrition,International Committee of the Red Cross,,,Luhanska,,GCA,Ongoing,Direct support to hospitals and medical points in sanatoriums,,,0
01-Jan-16,Health_Nutrition,Action contre la Faim,,,Luhanska,Сєвєродонецьк,GCA,Ongoing,IYCF counselling (under 2 y. o.),01-Oct-15,31-Mar-16,0
01-Jan-16,Health_Nutrition,Action contre la Faim,,,Luhanska,Сєвєродонецьк,GCA,Ongoing,IYCF counselling (under 2 y. o.),01-Oct-15,31-Mar-16,0
01-Jan-16,Health_Nutrition,Action contre la Faim,,,Luhanska,Сєвєродонецьк,GCA,Planned,IYCF-E training,06-Oct-15,31-Mar-16,0
01-Jan-16,Health_Nutrition,Premiere Urgence - Aide Medicale Internationale,,,Luhanska,Артемівськ,GCA,Planned,Nutrition activities for PLW,01-May-16,30-Apr-17,0
01-Jan-16,Health_Nutrition,Premiere Urgence - Aide Medicale Internationale,,,Donetska,Артемівський,GCA,Planned,IYCF promotion campaign (under 2 y. o.),01-May-16,30-Apr-17,0
01-Jan-16,Health_Nutrition,Premiere Urgence - Aide Medicale Internationale,,,Donetska,Авдіївка,GCA,Planned,Nutrition activities for PLW,01-May-16,30-Apr-17,0
01-Jan-16,Health_Nutrition,Premiere Urgence - Aide Medicale Internationale,,,Donetska,Авдіївка,GCA,Planned,IYCF promotion campaign (under 2 y. o.),01-May-16,30-Apr-17,0
01-Jan-16,Health_Nutrition,Premiere Urgence - Aide Medicale Internationale,,,Donetska,Дзержинськ,GCA,Planned,Nutrition activities for PLW,01-May-16,30-Apr-17,0
01-Jan-16,Health_Nutrition,Premiere Urgence - Aide Medicale Internationale,,,Donetska,Дзержинськ,GCA,Planned,IYCF promotion campaign (under 2 y. o.),01-May-16,30-Apr-17,0
01-Jan-16,Health_Nutrition,Premiere Urgence - Aide Medicale Internationale,,,Donetska,Горлівка,GCA,Ongoing,Nutrition activities for PLW,09-Dec-15,30-Apr-17,0
01-Jan-16,Health_Nutrition,World Health Organization,,,Poltavska,,GCA,Ongoing,Direct support to hospitals and medical points in sanatoriums,29-Jan-16,,0
01-Jan-16,Health_Nutrition,Ukrainian Red Cross Society,World Health Organization,,Luhanska,Сєвєродонецьк,GCA,Ongoing,Improve access to comprehensive healthcare services,,,567
01-Jan-16,Health_Nutrition,Ukrainian Red Cross Society,World Health Organization,,Dnipropetrovska,Криворізький,GCA,Ongoing,Improve access to comprehensive healthcare services,,,588
01-Jan-16,Health_Nutrition,Ukrainian Red Cross Society,World Health Organization,,Dnipropetrovska,Павлоград,GCA,Ongoing,Improve access to comprehensive healthcare services,,,570
