DATA_AS_OF,CLUSTER_ID,AGENCY,PARTNER,PARTNER2,DONOR,ADMIN1_ID,ADMIN2_ID,area_type,STATUS_ACTIVITY,ACTIVITY,START_ACTIVITY,END_ACTIVITY,BENEF_HH,BENEF_IND,Oblast_Name,Raion_Name
févr.16,Food Security,X4F57C810A79D146,,,,1400000000,1410200000,GCA,Ongoing,Other,2.16,,,,Donetska,Avdiivka
févr.16,Protection,X6970CB640F1140AD,,,,1400000000,1410200000,GCA,Ongoing,MRE activities,2.11,,,,Donetska,Avdiivka
févr.16,Protection,X694B9010E843B076,,,,1400000000,1410200000,GCA,Completed,MRE activities,2.12,févr.12,,,Donetska,Avdiivka
févr.16,Emergency Shelter/Non-Food Item,XDF58464D311DDEE4,,,,1400000000,1410200000,GCA,Completed,Other,7.15,juil.15,,,Donetska,Avdiivka
févr.16,Emergency Shelter/Non-Food Item,X4F0EAC74B9F7966B,,,,1400000000,1410200000,GCA,Ongoing,Shelter Repairs,9.15,févr.16,,,Donetska,Avdiivka
févr.16,Emergency Shelter/Non-Food Item,X4F0EAC74B9F7966B,,,,1400000000,1410200000,GCA,Ongoing,Shelter Repairs,9.15,févr.16,,,Donetska,Avdiivka
févr.16,Emergency Shelter/Non-Food Item,X72E2E84788AFA99B,,,,1400000000,1410200000,GCA,Completed,NFI distributions,2.15,févr.15,,,Donetska,Avdiivka
févr.16,Emergency Shelter/Non-Food Item,X72E2E84788AFA99B,,,,1400000000,1410200000,GCA,Completed,NFI distributions,2.15,févr.15,,,Donetska,Avdiivka
févr.16,Emergency Shelter/Non-Food Item,X72E2E84788AFA99B,,,,1400000000,1410200000,GCA,Completed,Shelter Repairs,2.15,févr.15,,,Donetska,Avdiivka
févr.16,Emergency Shelter/Non-Food Item,X72E2E84788AFA99B,,,,1400000000,1410200000,GCA,Completed,NFI distributions,2.15,févr.15,,,Donetska,Avdiivka
févr.16,Emergency Shelter/Non-Food Item,X72E2E84788AFA99B,,,,1400000000,1410200000,GCA,Completed,Shelter Repairs,3.15,mars.15,,,Donetska,Avdiivka
févr.16,Emergency Shelter/Non-Food Item,X72E2E84788AFA99B,,,,1400000000,1410200000,GCA,Completed,Shelter Repairs,3.15,mars.15,,,Donetska,Avdiivka
févr.16,Emergency Shelter/Non-Food Item,X72E2E84788AFA99B,,,,1400000000,1410200000,GCA,Completed,Shelter Repairs,3.15,mars.15,,,Donetska,Avdiivka
