Date,cluster_name,org_name,partner #1_name,partner #2_name,ADMIN1_NAME_ENG,ADMIN2_NAME_UKR,area_type,status_name,ACTIVITY,ACTIVITY_START,ACTIVITY_END,NUMBER_REACHED
01-Feb-16,WASH,XD02856D014B490C5,XD387F9CEEDBDA129,,Luhanska,Сєвєродонецьк,GCA,Completed,Distribution of hygine items/kits,02-Feb-16,04-Mar-16,144
01-Feb-16,WASH,XD02856D014B490C5,XD387F9CEEDBDA129,,Luhanska,Лисичанськ,GCA,Completed,Distribution of hygine items/kits,02-Feb-16,04-Mar-16,155
01-Feb-16,WASH,XD02856D014B490C5,XD387F9CEEDBDA129,,Donetska,,GCA,Completed,Hygiene promotion,01-Jan-16,,6966
01-Feb-16,WASH,XD02856D014B490C5,XD387F9CEEDBDA129,,Donetska,Краматорськ,GCA,Ongoing,Hygiene promotion,01-Dec-15,30-Jan-16,13000
01-Feb-16,WASH,XD02856D014B490C5,XD387F9CEEDBDA129,,Donetska,Краматорськ,GCA,Ongoing,Hygiene promotion,01-Dec-15,30-Jan-16,13000
01-Jan-16,Livelihoods,X40FC9DA54367614B,,,Dnipropetrovska,Нікополь,GCA,Ongoing,Other,,,0
01-Jan-16,Livelihoods,X40FC9DA54367614B,,,Dnipropetrovska,Новомосковськ,GCA,Ongoing,Other,,,0
01-Jan-16,Livelihoods,X40FC9DA54367614B,,,Dnipropetrovska,Синельникове,GCA,Ongoing,Other,,,0
01-Jan-16,Livelihoods,X40FC9DA54367614B,,,Dnipropetrovska,Магдалинівський,GCA,Ongoing,Other,,,0
01-Jan-16,Livelihoods,X40FC9DA54367614B,,,Donetska,Маріуполь,GCA,Ongoing,Other,,,0
01-Jan-16,Livelihoods,X40FC9DA54367614B,,,Zaporizka,Бердянськ,GCA,Ongoing,Other,,,0
01-Feb-16,Education,X1DD398AB29EBE57E,,,Dnipropetrovska,Павлоград,GCA,Ongoing,"Catch-up classes, summer camps",11-Jan-15,31-Mar-16,54
01-Feb-16,Education,X1DD398AB29EBE57E,,,Dnipropetrovska,Першотравенськ,GCA,Ongoing,"Catch-up classes, summer camps",11-Jan-15,31-Mar-16,60
01-Feb-16,Education,X1DD398AB29EBE57E,,,Zaporizka,Запоріжжя,GCA,Ongoing,"Catch-up classes, summer camps",11-Jan-15,31-Mar-16,123
01-Feb-16,Education,X1DD398AB29EBE57E,,,Zaporizka,Мелітополь,GCA,Ongoing,"Catch-up classes, summer camps",11-Jan-15,31-Mar-16,24
01-Feb-16,Education,X1DD398AB29EBE57E,,,Zaporizka,Бердянськ,GCA,Ongoing,"Catch-up classes, summer camps",11-Jan-15,31-Mar-16,92
01-Feb-16,Education,X1DD398AB29EBE57E,,,Dnipropetrovska,Межівський,GCA,Ongoing,"Catch-up classes, summer camps",10-Nov-15,31-Mar-16,1055
01-Feb-16,Education,X1DD398AB29EBE57E,,,Zaporizka,Мелітополь,GCA,Ongoing,Development of ECCD units,23-Dec-15,31-Mar-16,29
01-Feb-16,Education,X1DD398AB29EBE57E,,,Zaporizka,Бердянськ,GCA,Ongoing,"Catch-up classes, summer camps",12-Jan-15,31-Mar-16,255
01-Feb-16,Education,X1DD398AB29EBE57E,,,Dnipropetrovska,Межівський,GCA,Ongoing,"Catch-up classes, summer camps",12-Jan-15,31-Mar-16,30
01-Jan-16,Protection,X6077DD259F53CA2E,,,Luhanska,Попаснянський,GCA,Completed,MRE activities,,,79
01-Jan-16,Protection,X6077DD259F53CA2E,,,Luhanska,Попаснянський,GCA,Completed,MRE activities,,,91
01-Jan-16,Protection,X6077DD259F53CA2E,,,Luhanska,Попаснянський,GCA,Completed,MRE activities,,,94
01-Jan-16,Protection,X6077DD259F53CA2E,,,Luhanska,Попаснянський,GCA,Completed,MRE activities,,,101
01-Jan-16,Protection,X6077DD259F53CA2E,,,Luhanska,Сєвєродонецьк,GCA,Completed,MRE activities,,,672
01-Jan-16,Protection,X6077DD259F53CA2E,,,Luhanska,Сєвєродонецьк,GCA,Completed,MRE activities,,,28
01-Jan-16,Protection,X6077DD259F53CA2E,,,Luhanska,Сєвєродонецьк,GCA,Completed,MRE activities,,,209
01-Jan-16,Protection,X6077DD259F53CA2E,,,Luhanska,Сєвєродонецьк,GCA,Completed,MRE activities,,,218
01-Jan-16,Protection,X6077DD259F53CA2E,,,Luhanska,Старобільський,GCA,Completed,MRE activities,,,23
01-Jan-16,Protection,X6077DD259F53CA2E,,,Luhanska,Сватівський,GCA,Completed,MRE activities,,,527
01-Jan-16,Protection,XD387F9CEEDBDA129,,,Luhanska,Сєвєродонецьк,GCA,Completed,MRE activities,,,1500
01-Jan-16,Protection,XD387F9CEEDBDA129,,,Luhanska,,GCA,Completed,MRE activities,,,67175
01-Jan-16,Protection,XD387F9CEEDBDA129,,,Luhanska,,GCA,Completed,MRE activities,,,5000
01-Jan-16,Protection,XD387F9CEEDBDA129,,,Luhanska,,GCA,Completed,MRE activities,,,1100
01-Jan-16,Protection,X40FC9DA54367614B,,,Luhanska,Первомайськ,GCA,Completed,MRE activities,,,21
01-Jan-16,Protection,X40FC9DA54367614B,,,Luhanska,Біловодський,GCA,Completed,MRE activities,,,1
01-Jan-16,Protection,X40FC9DA54367614B,,,Luhanska,Біловодський,GCA,Completed,MRE activities,,,1
01-Jan-16,Health_Nutrition,XEA374E252E8F1C89,,,Kyiv,,GCA,Ongoing,Direct support to hospitals and medical points in sanatoriums,29-Jan-16,,0
01-Jan-16,Health_Nutrition,XEA374E252E8F1C89,,,Odeska,,GCA,Ongoing,Direct support to hospitals and medical points in sanatoriums,29-Jan-16,,0
01-Jan-16,Health_Nutrition,XEA374E252E8F1C89,,,Donetska,,GCA,Ongoing,Direct support to hospitals and medical points in sanatoriums,29-Jan-16,,0
01-Jan-16,Health_Nutrition,XEA374E252E8F1C89,,,Kharkivska,,GCA,Ongoing,Direct support to hospitals and medical points in sanatoriums,29-Jan-16,,0
01-Jan-16,Health_Nutrition,XEBDA9D72F79D8AB0,,,Donetska,Горлівка,GCA,Planned,Voucher for free medicines,20-Feb-16,30-Apr-17,0
01-Jan-16,Health_Nutrition,XEA374E252E8F1C89,,,Zaporizka,,GCA,Ongoing,Direct support to hospitals and medical points in sanatoriums,29-Jan-16,,0
01-Jan-16,Health_Nutrition,XF7FEAF582C33A55B,,,Luhanska,,GCA,Ongoing,Direct support to hospitals and medical points in sanatoriums,,,0
01-Jan-16,Health_Nutrition,XD187F5C09A67FE92,,,Luhanska,Сєвєродонецьк,GCA,Ongoing,IYCF counselling (under 2 y. o.),01-Oct-15,31-Mar-16,0
01-Jan-16,Health_Nutrition,XD187F5C09A67FE92,,,Luhanska,Сєвєродонецьк,GCA,Ongoing,IYCF counselling (under 2 y. o.),01-Oct-15,31-Mar-16,0
01-Jan-16,Health_Nutrition,XD187F5C09A67FE92,,,Luhanska,Сєвєродонецьк,GCA,Planned,IYCF-E training,06-Oct-15,31-Mar-16,0
01-Jan-16,Health_Nutrition,XEBDA9D72F79D8AB0,,,Luhanska,Артемівськ,GCA,Planned,Nutrition activities for PLW,01-May-16,30-Apr-17,0
01-Jan-16,Health_Nutrition,XEBDA9D72F79D8AB0,,,Donetska,Артемівський,GCA,Planned,IYCF promotion campaign (under 2 y. o.),01-May-16,30-Apr-17,0
01-Jan-16,Health_Nutrition,XEBDA9D72F79D8AB0,,,Donetska,Авдіївка,GCA,Planned,Nutrition activities for PLW,01-May-16,30-Apr-17,0
01-Jan-16,Health_Nutrition,XEBDA9D72F79D8AB0,,,Donetska,Авдіївка,GCA,Planned,IYCF promotion campaign (under 2 y. o.),01-May-16,30-Apr-17,0
01-Jan-16,Health_Nutrition,XEBDA9D72F79D8AB0,,,Donetska,Дзержинськ,GCA,Planned,Nutrition activities for PLW,01-May-16,30-Apr-17,0
01-Jan-16,Health_Nutrition,XEBDA9D72F79D8AB0,,,Donetska,Дзержинськ,GCA,Planned,IYCF promotion campaign (under 2 y. o.),01-May-16,30-Apr-17,0
01-Jan-16,Health_Nutrition,XEBDA9D72F79D8AB0,,,Donetska,Горлівка,GCA,Ongoing,Nutrition activities for PLW,09-Dec-15,30-Apr-17,0
01-Jan-16,Health_Nutrition,XEA374E252E8F1C89,,,Poltavska,,GCA,Ongoing,Direct support to hospitals and medical points in sanatoriums,29-Jan-16,,0
01-Jan-16,Health_Nutrition,X6235405530FF99D1,XEA374E252E8F1C89,,Luhanska,Сєвєродонецьк,GCA,Ongoing,Improve access to comprehensive healthcare services,,,567
01-Jan-16,Health_Nutrition,X6235405530FF99D1,XEA374E252E8F1C89,,Dnipropetrovska,Криворізький,GCA,Ongoing,Improve access to comprehensive healthcare services,,,588
01-Jan-16,Health_Nutrition,X6235405530FF99D1,XEA374E252E8F1C89,,Dnipropetrovska,Павлоград,GCA,Ongoing,Improve access to comprehensive healthcare services,,,570
01-Jan-16,Health_Nutrition,X6235405530FF99D1,XEA374E252E8F1C89,,Dnipropetrovska,Дніпродзержинськ,GCA,Ongoing,Improve access to comprehensive healthcare services,,,503
01-Jan-16,Health_Nutrition,X6235405530FF99D1,XEA374E252E8F1C89,,Donetska,,GCA,Ongoing,Improve access to comprehensive healthcare services,,,778
01-Jan-16,Health_Nutrition,X6235405530FF99D1,XEA374E252E8F1C89,,Donetska,Краматорськ,GCA,Ongoing,Improve access to comprehensive healthcare services,,,740
01-Jan-16,Health_Nutrition,X6235405530FF99D1,XEA374E252E8F1C89,,Donetska,Краматорськ,GCA,Ongoing,Improve access to comprehensive healthcare services,,,722
01-Jan-16,Health_Nutrition,X6235405530FF99D1,XEA374E252E8F1C89,,Donetska,Красний Лиман,GCA,Ongoing,Improve access to comprehensive healthcare services,,,756
01-Jan-16,Health_Nutrition,X6235405530FF99D1,XEA374E252E8F1C89,,Donetska,Слов'янськ,GCA,Ongoing,Improve access to comprehensive healthcare services,,,705
01-Jan-16,Health_Nutrition,X6235405530FF99D1,XEA374E252E8F1C89,,Donetska,Слов'янський,GCA,Ongoing,Improve access to comprehensive healthcare services,,,636
01-Jan-16,Health_Nutrition,X6235405530FF99D1,XEA374E252E8F1C89,,Zaporizka,Гуляйпільський,GCA,Ongoing,Improve access to comprehensive healthcare services,,,477
01-Jan-16,Health_Nutrition,X6235405530FF99D1,XEA374E252E8F1C89,,Luhanska,Біловодський,GCA,Ongoing,Improve access to comprehensive healthcare services,,,681
01-Feb-16,WASH,XD187F5C09A67FE92,,,Luhanska,Попаснянський,GCA,Planned,Distribution of hygine items/kits,01-Apr-15,31-May-16,2000
01-Feb-16,WASH,XD187F5C09A67FE92,,,Luhanska,Попаснянський,GCA,Planned,Distribution of hygine items/kits,01-Apr-15,31-Mar-16,2000
01-Feb-16,WASH,XD187F5C09A67FE92,,,Luhanska,Новоайдарський,GCA,Completed,Repair/rehabilitation of decentralized/private water system,01-Apr-15,31-May-16,0
01-Feb-16,WASH,XD187F5C09A67FE92,,,Luhanska,Сєвєродонецьк,GCA,Ongoing,Provision of household water storage (jerry cans etc),01-Apr-15,31-May-16,0
01-Feb-16,WASH,XD187F5C09A67FE92,,,Luhanska,Попаснянський,GCA,Planned,Water trucking,01-Apr-15,31-May-16,2500
01-Feb-16,WASH,XD187F5C09A67FE92,,,Luhanska,Попаснянський,GCA,Planned,Repair/rehabilitation of decentralized/private water system,01-Apr-15,31-May-16,2500
01-Feb-16,WASH,XD02856D014B490C5,XD387F9CEEDBDA129,,Donetska,Селидове,GCA,Completed,Distribution of hygine items/kits,01-Feb-16,03-Mar-16,706
01-Feb-16,WASH,XD02856D014B490C5,XD387F9CEEDBDA129,,Donetska,Дзержинськ,GCA,Completed,Distribution of hygine items/kits,02-Mar-16,03-Mar-16,478
01-Feb-16,WASH,XD02856D014B490C5,XD387F9CEEDBDA129,,Donetska,Мар'їнський,GCA,Completed,Distribution of hygine items/kits,21-Jan-16,29-Feb-16,281
01-Feb-16,WASH,XD02856D014B490C5,XD387F9CEEDBDA129,,Donetska,Мар'їнський,GCA,Completed,Distribution of hygine items/kits,21-Jan-16,29-Feb-16,196
01-Feb-16,WASH,XD02856D014B490C5,XD387F9CEEDBDA129,,Donetska,Мар'їнський,GCA,Completed,Distribution of hygine items/kits,21-Jan-16,29-Feb-16,56
01-Feb-16,WASH,XD02856D014B490C5,XD387F9CEEDBDA129,,Donetska,Артемівськ,GCA,Completed,Distribution of hygine items/kits,02-Feb-16,04-Mar-16,394
